# source	meet_id	div_id	n	c_pct	iqr_pct	z	fan	fan_ratio	already
anet	102777	405949	45	+22.08	6.20	+6.9	-	1.33	
tfrrs	27124	0	14	+29.54	10.16	+6.9	FAN	2.18	
tfrrs	26087	0	175	-17.53	6.47	-6.9	-	1.39	
anet	185880	755742	23	+21.64	3.53	+6.9	-	0.76	
anet	195806	786322	22	+24.65	8.16	+6.9	-	1.75	
anet	113709	451843	14	+37.41	14.82	+6.9	FAN	3.17	
anet	232694	928940	44	+21.50	4.61	+6.9	-	0.99	
anet	207559	852422	28	+23.00	6.91	+6.9	-	1.48	
anet	144212	605535	41	+22.03	6.18	+6.8	-	1.32	
anet	115455	461047	61	+21.15	4.03	+6.8	-	0.86	
anet	161692	689587	64	+22.85	10.16	+6.8	FAN	2.18	OVERRIDE
anet	144212	605540	48	+21.68	5.73	+6.8	-	1.23	
anet	180543	738225	21	-27.32	18.38	-6.8	FAN	3.94	
anet	64191	276873	67	+22.03	8.12	+6.8	-	1.74	
anet	225257	907171	31	+21.74	4.84	+6.8	-	1.04	
tfrrs	14365	0	57	-18.44	9.20	-6.8	FAN	1.97	
anet	229095	913433	126	+21.48	8.68	+6.8	FAN	1.86	OVERRIDE
anet	92283	399292	49	-19.07	10.62	-6.8	FAN	2.28	
