# n_meets	state	city	venue_name	location_raw	gps_lat	gps_long   (fill the last two with your geocoder)
2			Valley Center Golf Course	Valley Center Golf Course Valley Center, Kansas 67147		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	NJ		Rowan College @ Gloucester County	Rowan College @ Gloucester County Sewell, NJ 08080		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	CT		Univ. of St.  Joseph	Univ. of St. Joseph West Hartford, CT 06117		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	IL		Maxwell Park	Maxwell Park Normal, IL 12345		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	MA		Mt. Greylock HS	Mt. Greylock HS Williamstown, MA 01267		
1						
1	MT		Hickory Swing Golf Course	Hickory Swing Golf Course Great Falls, MT 59401		
1	CA		bakersfield college	bakersfield college balersfield, CA 93305		
1	PA		Bethlehem, PA 18015	Bethlehem, PA 18015		
1	WA		Magnuson Park	Magnuson Park Seattle, WA 98115		
1	TX		Fort Worth, TX 76117	Fort Worth, TX 76117		
1	OR		Clackamas Community College	Clackamas Community College 19600 Molalla Ave Oregon City, OR 97045		
1						
1						
1	MI		Fremont HS	Fremont HS address Fremont, MI 49412		
1						
1	MN		Moorview Soccer Complex	Moorview Soccer Complex 23rd St S Moorhead, MN 56560		
1	TX		West Texas A&M Univ. Canyon, TX	West Texas A&M Univ. Canyon, TX Canyon, TX 79016		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	OH		Kingswood Park	Kingswood Park Mason, OH 45039		
1	TX		Kate Barr-Ross Park, Huntsville, TX	Kate Barr-Ross Park, Huntsville, TX Huntsville, TX 77341		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	NY		Hobart College	Hobart College Geneva, NY 14623		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	FL		Holloway Park	Holloway Park Lakeland, FL 32796		
1						
1						
1	CA		Patrick's Point State Park	Patrick's Point State Park 4150 Patricks Point Dr Trinidad, CA 95570		
1	CA		None	None Oakland, CA 94610		
1	SC		Rock Hill, SC 29733	Rock Hill, SC 29733		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	NY		Hamilton College Cross-Country Course	Hamilton College Cross-Country Course 1400 Washington Ave. Clinton, NY 13323		
1						
1						
1						
1						
1						
1						
1						
1	TX		Waco, TX 76798	Waco, TX 76798		
1	AL		Veterans Park, Hoover, Alabama	Veterans Park, Hoover, Alabama Hoover, AL 35242		
