# source	meet_id	div_id	n	c_pct	iqr_pct	z	already
anet	33322	1	20	-12.45	8.78	-5.5	
tfrrs	42231	None	66	-8.48	4.40	-5.5	
tfrrs	76000	None	148	-8.36	5.55	-5.5	
tfrrs	54401	None	29	-10.19	6.89	-5.5	
tfrrs	61927	None	48	-8.34	3.08	-5.5	
tfrrs	45090	None	36	-8.96	4.81	-5.5	
tfrrs	19004	None	14	-9.81	4.29	-5.5	
tfrrs	18961	None	99	-8.32	4.33	-5.5	
tfrrs	62487	None	141	-8.43	6.10	-5.5	
tfrrs	58438	None	84	-8.96	7.36	-5.5	
tfrrs	92017	None	24	-11.02	7.59	-5.5	
tfrrs	13816	None	74	-8.66	5.64	-5.5	
tfrrs	16980	None	95	-9.40	9.70	-5.5	
tfrrs	80541	None	31	-9.08	4.80	-5.5	
tfrrs	9547	None	29	-10.09	6.73	-5.5	
anet	309785	1	44	-10.23	8.62	-5.5	
tfrrs	58681	None	103	-8.45	5.39	-5.5	
tfrrs	80981	None	16	-8.89	3.09	-5.5	
tfrrs	67040	None	56	-9.24	6.98	-5.5	
tfrrs	38508	None	171	-8.34	5.96	-5.5	
anet	535084	2	22	-8.54	2.79	-5.5	
tfrrs	59256	None	27	-8.78	3.78	-5.5	
tfrrs	61910	None	33	-8.72	3.99	-5.5	
tfrrs	81730	None	144	-8.37	5.86	-5.5	
tfrrs	95956	None	20	-9.36	4.41	-5.5	
tfrrs	49526	None	70	-8.32	3.80	-5.5	
tfrrs	58888	None	22	-10.16	6.02	-5.5	
tfrrs	38509	None	110	-8.56	6.44	-5.5	
anet	405794	1	28	+9.65	3.94	+5.5	
tfrrs	13926	None	113	-8.78	7.81	-5.5	
tfrrs	60390	None	40	-9.30	6.11	-5.5	
tfrrs	12242	None	28	-9.37	5.28	-5.5	
tfrrs	45757	None	16	-10.74	5.90	-5.5	
anet	238818	1	44	+9.90	5.59	+5.5	
tfrrs	24325	None	36	-9.15	5.45	-5.5	
anet	317874	10	15	+9.21	2.09	+5.5	
tfrrs	86560	None	67	-9.05	7.05	-5.5	
tfrrs	93183	None	38	-8.72	4.36	-5.5	
tfrrs	70905	None	157	-8.30	5.57	-5.5	
tfrrs	68691	None	84	-8.31	4.16	-5.5	
tfrrs	56900	None	34	-8.87	4.57	-5.5	
tfrrs	13239	None	37	-9.05	5.26	-5.5	
tfrrs	40130	None	67	-8.50	4.82	-5.5	
anet	79792	1	38	+9.01	2.61	+5.5	
tfrrs	38349	None	34	-9.28	5.63	-5.5	
anet	222911	2	39	+9.35	3.84	+5.5	
anet	71772	1	95	+8.93	3.58	+5.5	
tfrrs	69098	None	20	-8.55	2.74	-5.5	
anet	430670	1	51	+10.03	6.39	+5.5	
tfrrs	68700	None	53	-10.69	10.65	-5.5	
tfrrs	9415	None	80	-8.49	5.21	-5.5	
tfrrs	16167	None	65	-8.29	3.58	-5.5	
tfrrs	81895	None	132	-8.34	5.56	-5.5	
tfrrs	91490	None	23	-8.82	3.65	-5.5	
tfrrs	78814	None	26	-9.47	5.31	-5.5	
tfrrs	22241	None	486	-8.05	4.05	-5.5	
tfrrs	45035	None	39	-8.66	4.26	-5.5	
tfrrs	6941	None	16	-10.82	6.02	-5.5	
tfrrs	75681	None	27	-9.75	5.97	-5.5	
tfrrs	51528	None	32	-8.95	4.66	-5.5	
tfrrs	14752	None	36	-8.80	4.54	-5.5	
tfrrs	33016	None	19	-11.00	6.82	-5.5	
tfrrs	62933	None	120	-8.19	4.01	-5.5	
tfrrs	13815	None	36	-9.14	5.46	-5.5	
tfrrs	71648	None	91	-8.93	7.84	-5.5	
anet	336130	1	58	+9.93	6.60	+5.5	
tfrrs	17059	None	110	-9.45	10.91	-5.5	
tfrrs	71877	None	48	-9.44	7.17	-5.5	
tfrrs	58374	None	79	-8.24	3.73	-5.5	
tfrrs	60644	None	31	-11.01	8.74	-5.5	
tfrrs	36494	None	59	-8.61	5.06	-5.5	
tfrrs	31523	None	121	-8.62	7.34	-5.5	
tfrrs	91761	None	35	-9.16	5.47	-5.5	
anet	243678	1	24	+11.29	6.33	+5.5	
anet	125558	1	55	+9.35	4.68	+5.5	
tfrrs	61073	None	79	-8.35	4.47	-5.5	
anet	73115	1	21	+10.27	4.53	+5.5	
tfrrs	89271	None	20	-9.01	3.84	-5.5	
tfrrs	14472	None	110	-8.58	6.79	-5.5	
tfrrs	59191	None	64	-9.51	8.52	-5.5	
anet	127367	1	48	-8.77	5.19	-5.5	
tfrrs	47874	None	38	-8.91	5.04	-5.5	
tfrrs	73923	None	66	-9.65	9.11	-5.5	
tfrrs	77097	None	92	-8.56	6.12	-5.5	
tfrrs	8277	None	20	-9.65	5.01	-5.5	
tfrrs	25687	None	14	-11.83	6.80	-5.5	
tfrrs	84720	None	22	-9.14	4.32	-5.5	
tfrrs	61178	None	55	-9.12	6.76	-5.5	
tfrrs	60029	None	39	-9.99	7.76	-5.5	
tfrrs	90169	None	18	-10.48	5.97	-5.5	
anet	260426	1	60	+9.12	4.00	+5.5	
anet	139301	1	18	-16.56	13.14	-5.5	
anet	96455	1	50	+9.62	5.35	+5.5	
tfrrs	37695	None	45	-8.76	5.04	-5.5	
anet	437964	1	18	+10.22	4.15	+5.5	
tfrrs	21559	None	86	-8.80	7.16	-5.5	
anet	397866	1	29	+12.88	9.16	+5.5	
tfrrs	55731	None	23	-9.25	4.66	-5.5	
tfrrs	67426	None	46	-9.62	7.57	-5.5	
tfrrs	86784	None	23	-8.98	4.11	-5.5	
tfrrs	46415	None	67	-8.46	4.84	-5.5	
tfrrs	30894	None	23	-8.96	4.07	-5.5	
anet	502711	2	15	-8.94	3.26	-5.5	
tfrrs	27628	None	73	-8.18	3.35	-5.5	
tfrrs	37050	None	101	-8.51	6.23	-5.5	
tfrrs	28998	None	22	-10.92	7.29	-5.5	
tfrrs	45872	None	27	-8.11	1.72	-5.5	
tfrrs	18896	None	14	-12.83	7.89	-5.5	
tfrrs	83752	None	29	-12.01	10.12	-5.5	
tfrrs	69756	None	33	-9.65	6.50	-5.5	
tfrrs	10504	None	27	-11.10	8.37	-5.5	
tfrrs	77381	None	21	-8.21	1.94	-5.5	
tfrrs	46501	None	31	-9.70	6.40	-5.5	
tfrrs	39594	None	28	-8.74	3.97	-5.4	
anet	183351	2	37	-9.55	6.66	-5.4	
tfrrs	43027	None	58	-9.13	7.07	-5.4	
anet	613486	1	68	+8.96	3.62	+5.4	
tfrrs	12451	None	74	-8.32	4.40	-5.4	
tfrrs	82269	None	300	-8.04	4.39	-5.4	
tfrrs	93635	None	231	-8.04	3.97	-5.4	
tfrrs	33782	None	35	-11.98	11.10	-5.4	
tfrrs	48907	None	158	-8.08	3.83	-5.4	
tfrrs	76430	None	55	-8.46	4.45	-5.4	
tfrrs	28995	None	66	-8.48	5.01	-5.4	
tfrrs	5869	None	44	-8.45	3.94	-5.4	
tfrrs	71391	None	160	-8.07	3.78	-5.4	
anet	652306	1	42	-8.65	4.59	-5.4	
tfrrs	81199	None	23	-8.68	3.48	-5.4	
tfrrs	31587	None	201	-8.30	7.18	-5.4	
tfrrs	57049	None	42	-9.09	5.95	-5.4	
tfrrs	84115	None	109	-8.20	4.46	-5.4	
anet	96463	1	76	+9.02	4.23	+5.4	
tfrrs	80888	None	22	-9.90	5.77	-5.4	
tfrrs	68676	None	104	-8.21	4.47	-5.4	
tfrrs	5284	None	234	-8.28	7.54	-5.4	
tfrrs	86874	None	51	-8.77	5.56	-5.4	
tfrrs	76674	None	95	-8.44	5.87	-5.4	
tfrrs	58747	None	31	-8.24	2.61	-5.4	
tfrrs	55522	None	53	-8.58	4.98	-5.4	
tfrrs	72459	None	51	-8.97	6.21	-5.4	
anet	338485	1	16	-11.52	7.00	-5.4	
tfrrs	17679	None	46	-8.55	4.51	-5.4	
tfrrs	78160	None	75	-8.28	4.34	-5.4	
tfrrs	41863	None	108	-8.16	4.24	-5.4	
