# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	tfrrs	60347	None	25	-12.4	8.8	1453	na	na	-	INVESTIGATE		
DIV	anet	134261	1	17	+14.2	5.0	1415	na	na	-	INVESTIGATE		
DIV	tfrrs	57599	None	150	-12.4	4.5	1453	na	na	-	INVESTIGATE		
DIV	anet	105495	1	36	-12.4	8.6	1814	na	na	-	INVESTIGATE		
DIV	tfrrs	6756	None	13	+14.1	14.3	1425	na	na	-	INVESTIGATE		
DIV	tfrrs	42847	None	15	-12.4	4.5	1444	na	na	-	INVESTIGATE		
DIV	tfrrs	31774	None	13	-12.4	3.6	3153	na	na	-	INVESTIGATE		
DIV	tfrrs	84293	None	17	-12.4	8.9	1428	na	na	-	INVESTIGATE		
DIV	anet	426842	1	100	-12.4	6.2	1852	na	na	-	INVESTIGATE		
DIV	tfrrs	24264	None	30	-12.4	7.6	1446	na	na	-	INVESTIGATE		
DIV	tfrrs	75948	None	59	-12.4	6.8	1429	na	na	-	INVESTIGATE		
DIV	anet	328285	1	30	-12.4	5.4	1837	na	na	-	INVESTIGATE		
DIV	tfrrs	18003	None	40	-12.4	2.9	1434	na	na	-	INVESTIGATE		
DIV	tfrrs	22200	None	18	-12.4	3.6	1452	na	na	-	INVESTIGATE		
DIV	tfrrs	19052	None	27	-12.3	5.6	1434	na	na	-	INVESTIGATE		
DIV	anet	641963	1	167	-12.3	6.9	1830	na	na	-	INVESTIGATE		
DIV	tfrrs	9149	None	32	-12.3	5.3	1432	na	na	-	INVESTIGATE		
DIV	anet	158783	3	23	-12.3	8.4	649	na	na	-	INVESTIGATE		
DIV	tfrrs	43684	None	61	-12.3	4.1	1444	na	na	-	INVESTIGATE		
DIV	tfrrs	37959	None	80	-12.3	6.6	1450	na	na	-	INVESTIGATE		
DIV	anet	615649	1	13	-12.3	20.9	1808	na	na	-	INVESTIGATE		
DIV	tfrrs	28828	None	22	-12.3	5.3	1442	na	na	-	INVESTIGATE		
DIV	tfrrs	39518	None	21	-12.3	4.4	1431	na	na	-	INVESTIGATE		
DIV	anet	408080	2	20	-12.3	10.9	1834	na	na	-	INVESTIGATE		
DIV	tfrrs	52554	None	26	-12.3	5.2	1450	na	na	-	INVESTIGATE		
DIV	tfrrs	55800	None	28	-12.3	6.0	1450	na	na	-	INVESTIGATE		
DIV	anet	451836	3	13	+14.0	11.2	1425	na	na	-	INVESTIGATE		
DIV	anet	454874	2	17	+14.0	6.7	1437	na	na	-	INVESTIGATE		
DIV	anet	316838	1	52	-12.3	6.1	1853	na	na	-	INVESTIGATE		
DIV	tfrrs	50549	None	80	-12.3	4.2	1445	na	na	-	INVESTIGATE		
DIV	tfrrs	87960	None	94	-12.3	5.0	1432	na	na	-	INVESTIGATE		
DIV	anet	228535	4	28	-12.3	5.1	2258	na	na	-	INVESTIGATE		
DIV	tfrrs	72567	None	12	-12.3	4.5	1066	na	na	-	INVESTIGATE		
DIV	tfrrs	17513	None	34	-12.2	5.4	1428	na	na	-	INVESTIGATE		
DIV	tfrrs	83846	None	15	-12.2	17.1	1428	na	na	-	INVESTIGATE		
DIV	anet	517944	1	31	+13.9	5.2	1410	na	na	-	INVESTIGATE		
DIV	tfrrs	20769	None	78	-12.2	12.5	1434	na	na	-	INVESTIGATE		
DIV	tfrrs	12962	None	49	-12.2	10.0	2916	na	na	-	INVESTIGATE		
DIV	anet	105495	2	73	-12.2	11.4	1829	na	na	-	INVESTIGATE		
DIV	tfrrs	5118	None	33	-12.2	10.5	1426	na	na	-	INVESTIGATE		
