# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	anet	174768	717176	15	-36.6	14.0	2865	9	32	-	INVESTIGATE		
DIV	tfrrs	8537	0	14	-36.6	5.3	3165	na	na	OVERRIDE	REGRESSION		
DIV	anet	20838	122434	16	-36.5	3.3	2478	6	20	-	INVESTIGATE		
DIV	tfrrs	9024	2	173	-36.5	3.2	5048	na	na	OVERRIDE	REGRESSION		
DIV	anet	16243	72672	21	-36.4	4.6	5134	1	15	-	INVESTIGATE		
DIV	anet	97735	389486	38	+57.3	5.6	2277	1	3	-	INVESTIGATE		
DIV	anet	27802	120956	29	-36.4	3.7	5120	1	9	-	INVESTIGATE		
DIV	anet	229091	913416	31	-36.3	5.0	3123	1	21	-	INVESTIGATE		
DIV	tfrrs	8467	1	38	-36.3	4.8	3985	na	na	OVERRIDE	REGRESSION		
DIV	anet	174759	717160	17	-36.2	10.0	2876	9	32	-	INVESTIGATE		
DIV	tfrrs	26359	2	19	+56.7	10.1	8206	na	na	-	INVESTIGATE		
DIV	anet	116605	467075	45	-36.2	4.2	3087	3	10	-	INVESTIGATE		
DIV	tfrrs	9087	0	57	-36.2	4.0	3165	na	na	OVERRIDE	REGRESSION		
DIV	anet	154306	642784	40	-36.1	3.8	5088	2	7	-	INVESTIGATE		
DIV	anet	207345	831450	14	-36.0	5.9	2891	9	32	-	INVESTIGATE		
DIV	anet	12763	58313	13	-36.0	5.6	3155	2	19	-	INVESTIGATE		
DIV	anet	79584	329625	30	-36.0	12.6	2443	2	6	-	INVESTIGATE		
DIV	tfrrs	8432	1	54	-36.0	3.6	3146	na	na	OVERRIDE	REGRESSION		
DIV	tfrrs	9279	0	50	-35.9	7.4	5048	na	na	-	INVESTIGATE		
DIV	anet	174967	733413	37	-35.9	6.7	852	1	7	-	INVESTIGATE		
DIV	tfrrs	12545	0	26	+55.9	4.4	8315	na	na	-	INVESTIGATE		
DIV	anet	144734	607566	53	-35.8	5.2	3122	1	11	-	INVESTIGATE		
DIV	anet	242673	967355	17	-35.8	7.1	2846	9	32	-	INVESTIGATE		
DIV	anet	87089	345417	14	-35.7	13.9	3084	1	18	-	INVESTIGATE		
DIV	anet	106052	444901	23	-35.7	4.3	5048	2	12	-	INVESTIGATE		
DIV	anet	170368	712909	15	-35.7	3.2	3186	10	25	-	INVESTIGATE		
DIV	anet	234415	937488	23	-35.7	5.7	3103	5	18	-	INVESTIGATE		
DIV	anet	174763	717164	13	-35.7	5.4	2880	9	32	-	INVESTIGATE		
DIV	anet	207673	845581	23	-35.7	4.2	5071	4	17	-	INVESTIGATE		
DIV	tfrrs	8228	1	20	-35.6	2.3	3985	na	na	OVERRIDE	REGRESSION		
DIV	anet	178027	728199	33	-35.5	5.4	5138	1	4	-	INVESTIGATE		
