# tfrrs_meet	score	runner	location_id	gps_lat	gps_long	anet_course_name	tfrrs_location_raw
24804	1.00	0.25	14089	25.826963	-80.18128	Morningside Park	MorningSide Park 750 NE 55th Ter Miami, FL 33137
26278	1.00	0.33	8851	38.974674	-76.56562	Annapolis High School	USNA Cross Country Course Annapolis, MD 21402
26284	1.00	0.25	5892	36.096203	-94.16504	University of AR XC course	Ox Bow Park 23033 CR 45 Goshen, AR 46516
26282	1.00	0.25	5892	36.096203	-94.16504	University of AR XC course	South Bend Adams , AR
26300	1.00	0.33	8951	40.05832	-86.46246	Lebanon High School	Lebanon 1601 Longley Drive Lebanon, IN 46052
26279	1.00	0.67	3307	41.145737	-85.13945	Northrop High School	Ft. Wayne Northrop 7001 Coldwater Rd. Fort Wayne, IN 46825
18966	1.00	0.50	19690	37.466743	-81.06001	Pipestem State Park	Pipestem State Park 3405 Pipestem Drive Pipestem , WV 25979
24349	1.00	0.67	3307	41.145737	-85.13945	Northrop High School	Ft. Wayne Northrop Fort Wayne, IN 46825
20189	1.00	0.50	2211	42.326298	-72.52556	Hampshire College XC course	Hampshire College Amherst, MA 01040
22514	1.00	0.33	30820	41.044735	-85.29002	Van Hoozen Community Park	Van Hoozen Park Ft. Wayne, IN 46814
19560	1.00	0.50	34649	30.297516	-81.457275	Providence School of Jacksonville	Providence School of Jacksonville Jacksonville, FL 32224
25453	1.00	0.25	33933	28.339201	-80.72333	Rockledge High School	Rockledge HS Rockledge, FL 34761
13529	1.00	0.50	29162	32.866955	-79.97522	North Charleston	Johns Island County Park Charleston, SC
24347	1.00	0.50	40033	36.213642	-83.26157	Walters State Community College	Walters State CC Morristown, TN 37813
20081	1.00	0.50	24875	28.07418	-82.407425	The Claw	The Claw at USF Tampa, FL
16298	1.00	0.00	34957	35.751415	-83.964165	Maryville College Course	Maryville College Campus Maryville, TN 37801
15824	1.00	0.33	25533	35.484295	-80.283394	Pfeiffer University	Pfeiffer XC Course Misenheimer, NC 28109
19638	1.00	0.50	24875	28.07418	-82.407425	The Claw	The Claw GC @ USF Tampa, FL 33618
8410	1.00	0.00	23061	43.46084	-85.95441	Fremont MS	Venue Fremont, MI 49412
8465	1.00	0.50	7630	41.6868	-73.8957	Vassar College	Vassar Farms Poughkeepsie, NY 10604
20461	1.00	0.50	40409	46.807022	-92.172264	Lesterwood Golf Course	Lesterwood Golf Course Duluth, MN 55804
